config_id,performance,budget,budget_used,total_wallclock_time,total_optimization_time,x0,x1
1,161.25549717966388,20,40,0.11734890937805176,0.0010728836059570312,-5.0,5.0
3,17.508299515778166,20,80,0.22930479049682617,0.009371757507324219,-5.0,15.0
3,17.508299515778166,20,120,0.33854174613952637,0.011746644973754883,-5.0,15.0
3,17.508299515778166,20,160,0.48398494720458984,0.01403498649597168,-5.0,15.0
8,14.341398295508888,20,200,0.6280927658081055,0.016147851943969727,5.0,0.0
8,14.341398295508888,20,240,0.7760419845581055,0.01865983009338379,5.0,0.0
13,5.93132298356619,20,280,0.8843858242034912,0.020876646041870117,10.0,5.0
13,5.93132298356619,20,320,0.991621732711792,0.023010730743408203,10.0,5.0
13,5.93132298356619,20,360,1.0989739894866943,0.024906635284423828,10.0,5.0
13,5.93132298356619,20,400,1.232278823852539,0.027173519134521484,10.0,5.0
