config_id,budget,performance,x0,x1
0,20,308.12909601160663,-5.0,0.0
1,20,161.25549717966388,-5.0,5.0
2,20,64.381898347721,-5.0,10.0
3,20,17.508299515778166,-5.0,15.0
4,20,55.602112642270264,0.0,0.0
5,20,20.602112642270264,0.0,5.0
6,20,35.602112642270264,0.0,10.0
7,20,100.60211264227026,0.0,15.0
8,20,14.341398295508888,5.0,0.0
9,20,26.622742555461393,5.0,5.0
10,20,88.90408681541389,5.0,10.0
11,20,201.1854310753664,5.0,15.0
12,20,10.960889035651505,10.0,0.0
13,20,5.93132298356619,10.0,5.0
14,20,50.901756931480875,10.0,10.0
15,20,145.87219087939556,10.0,15.0
