config_id,budget,performance,activation,batch_size,learning_rate,learning_rate_init,n_layer,n_neurons,solver
0,100,0.4718539151965335,logistic,30,constant,0.0001,1,8,lbfgs
1,100,0.736225626740947,logistic,30,constant,0.0001,1,8,adam
2,100,0.06788919839059115,logistic,30,constant,0.0001,1,1024,lbfgs
3,100,0.05508511296812135,logistic,30,constant,0.0001,1,1024,adam
4,100,0.9132033426183844,logistic,30,constant,0.0001,5,8,lbfgs
5,100,0.8981615598885794,logistic,30,constant,0.0001,5,8,adam
6,100,0.8987186629526462,logistic,30,constant,0.0001,5,1024,lbfgs
7,100,0.3055075827917053,logistic,30,constant,0.0001,5,1024,adam
8,100,0.4718539151965335,logistic,30,constant,1.0,1,8,lbfgs
9,100,0.8881352522438873,logistic,30,constant,1.0,1,8,adam
10,100,0.06788919839059115,logistic,30,constant,1.0,1,1024,lbfgs
11,100,0.8463896626431445,logistic,30,constant,1.0,1,1024,adam
12,100,0.9132033426183844,logistic,30,constant,1.0,5,8,lbfgs
13,100,0.9009455277004024,logistic,30,constant,1.0,5,8,adam
14,100,0.8987186629526462,logistic,30,constant,1.0,5,1024,lbfgs
15,100,0.8992757660167131,logistic,30,constant,1.0,5,1024,adam
16,100,0.4718539151965335,logistic,30,adaptive,0.0001,1,8,lbfgs
17,100,0.736225626740947,logistic,30,adaptive,0.0001,1,8,adam
18,100,0.06788919839059115,logistic,30,adaptive,0.0001,1,1024,lbfgs
19,100,0.05508511296812135,logistic,30,adaptive,0.0001,1,1024,adam
20,100,0.9132033426183844,logistic,30,adaptive,0.0001,5,8,lbfgs
21,100,0.8981615598885794,logistic,30,adaptive,0.0001,5,8,adam
22,100,0.8987186629526462,logistic,30,adaptive,0.0001,5,1024,lbfgs
23,100,0.3055075827917053,logistic,30,adaptive,0.0001,5,1024,adam
24,100,0.4718539151965335,logistic,30,adaptive,1.0,1,8,lbfgs
25,100,0.8881352522438873,logistic,30,adaptive,1.0,1,8,adam
26,100,0.06788919839059115,logistic,30,adaptive,1.0,1,1024,lbfgs
27,100,0.8463896626431445,logistic,30,adaptive,1.0,1,1024,adam
28,100,0.9132033426183844,logistic,30,adaptive,1.0,5,8,lbfgs
29,100,0.9009455277004024,logistic,30,adaptive,1.0,5,8,adam
30,100,0.8987186629526462,logistic,30,adaptive,1.0,5,1024,lbfgs
31,100,0.8992757660167131,logistic,30,adaptive,1.0,5,1024,adam
32,100,0.4718539151965335,logistic,300,constant,0.0001,1,8,lbfgs
33,100,0.9103884246363355,logistic,300,constant,0.0001,1,8,adam
34,100,0.06788919839059115,logistic,300,constant,0.0001,1,1024,lbfgs
35,100,0.13633240482822662,logistic,300,constant,0.0001,1,1024,adam
36,100,0.9132033426183844,logistic,300,constant,0.0001,5,8,lbfgs
37,100,0.8981615598885794,logistic,300,constant,0.0001,5,8,adam
38,100,0.8987186629526462,logistic,300,constant,0.0001,5,1024,lbfgs
39,100,0.8681352522438873,logistic,300,constant,0.0001,5,1024,adam
40,100,0.4718539151965335,logistic,300,constant,1.0,1,8,lbfgs
41,100,0.8925905292479108,logistic,300,constant,1.0,1,8,adam
42,100,0.06788919839059115,logistic,300,constant,1.0,1,1024,lbfgs
43,100,0.7245945527700403,logistic,300,constant,1.0,1,1024,adam
44,100,0.9132033426183844,logistic,300,constant,1.0,5,8,lbfgs
45,100,0.9003899721448468,logistic,300,constant,1.0,5,8,adam
46,100,0.8987186629526462,logistic,300,constant,1.0,5,1024,lbfgs
47,100,0.9003899721448468,logistic,300,constant,1.0,5,1024,adam
48,100,0.4718539151965335,logistic,300,adaptive,0.0001,1,8,lbfgs
49,100,0.9103884246363355,logistic,300,adaptive,0.0001,1,8,adam
50,100,0.06788919839059115,logistic,300,adaptive,0.0001,1,1024,lbfgs
51,100,0.13633240482822662,logistic,300,adaptive,0.0001,1,1024,adam
52,100,0.9132033426183844,logistic,300,adaptive,0.0001,5,8,lbfgs
53,100,0.8981615598885794,logistic,300,adaptive,0.0001,5,8,adam
54,100,0.8987186629526462,logistic,300,adaptive,0.0001,5,1024,lbfgs
55,100,0.8681352522438873,logistic,300,adaptive,0.0001,5,1024,adam
56,100,0.4718539151965335,logistic,300,adaptive,1.0,1,8,lbfgs
57,100,0.8925905292479108,logistic,300,adaptive,1.0,1,8,adam
58,100,0.06788919839059115,logistic,300,adaptive,1.0,1,1024,lbfgs
59,100,0.7245945527700403,logistic,300,adaptive,1.0,1,1024,adam
60,100,0.9132033426183844,logistic,300,adaptive,1.0,5,8,lbfgs
61,100,0.9003899721448468,logistic,300,adaptive,1.0,5,8,adam
62,100,0.8987186629526462,logistic,300,adaptive,1.0,5,1024,lbfgs
63,100,0.9003899721448468,logistic,300,adaptive,1.0,5,1024,adam
64,100,0.7267579696688331,relu,30,constant,0.0001,1,8,lbfgs
65,100,0.8631104921077066,relu,30,constant,0.0001,1,8,adam
66,100,0.05841844630145465,relu,30,constant,0.0001,1,1024,lbfgs
67,100,0.02893686165273901,relu,30,constant,0.0001,1,1024,adam
68,100,0.7746394305168678,relu,30,constant,0.0001,5,8,lbfgs
69,100,0.9037140204271124,relu,30,constant,0.0001,5,8,adam
70,100,0.06621788919839067,relu,30,constant,0.0001,5,1024,lbfgs
71,100,0.013354998452491329,relu,30,constant,0.0001,5,1024,adam
72,100,0.7267579696688331,relu,30,constant,1.0,1,8,lbfgs
73,100,0.9003899721448468,relu,30,constant,1.0,1,8,adam
74,100,0.05841844630145465,relu,30,constant,1.0,1,1024,lbfgs
75,100,0.8870535437944909,relu,30,constant,1.0,1,1024,adam
76,100,0.7746394305168678,relu,30,constant,1.0,5,8,lbfgs
77,100,0.9009455277004024,relu,30,constant,1.0,5,8,adam
78,100,0.06621788919839067,relu,30,constant,1.0,5,1024,lbfgs
79,100,0.9115320334261838,relu,30,constant,1.0,5,1024,adam
80,100,0.7267579696688331,relu,30,adaptive,0.0001,1,8,lbfgs
81,100,0.8631104921077066,relu,30,adaptive,0.0001,1,8,adam
82,100,0.05841844630145465,relu,30,adaptive,0.0001,1,1024,lbfgs
83,100,0.02893686165273901,relu,30,adaptive,0.0001,1,1024,adam
84,100,0.7746394305168678,relu,30,adaptive,0.0001,5,8,lbfgs
85,100,0.9037140204271124,relu,30,adaptive,0.0001,5,8,adam
86,100,0.06621788919839067,relu,30,adaptive,0.0001,5,1024,lbfgs
87,100,0.013354998452491329,relu,30,adaptive,0.0001,5,1024,adam
88,100,0.7267579696688331,relu,30,adaptive,1.0,1,8,lbfgs
89,100,0.9003899721448468,relu,30,adaptive,1.0,1,8,adam
90,100,0.05841844630145465,relu,30,adaptive,1.0,1,1024,lbfgs
91,100,0.8870535437944909,relu,30,adaptive,1.0,1,1024,adam
92,100,0.7746394305168678,relu,30,adaptive,1.0,5,8,lbfgs
93,100,0.9009455277004024,relu,30,adaptive,1.0,5,8,adam
94,100,0.06621788919839067,relu,30,adaptive,1.0,5,1024,lbfgs
95,100,0.9115320334261838,relu,30,adaptive,1.0,5,1024,adam
96,100,0.7267579696688331,relu,300,constant,0.0001,1,8,lbfgs
97,100,0.9332141751779635,relu,300,constant,0.0001,1,8,adam
98,100,0.05841844630145465,relu,300,constant,0.0001,1,1024,lbfgs
99,100,0.12297585886722362,relu,300,constant,0.0001,1,1024,adam
